,period1,period2,entryfilter1,entryfilter2,closefilter1,closefilter2,mutation,profit,probability
0,1.0,8.0,0.02053868092725089,0.0072824270346093095,-0.09216769628776633,0.0534401277397378,0.04174507975667996,-2.847902156126636,
1,1.0,8.0,0.016896900451286972,0.0636631769800928,0.03159495425610717,-0.007960173567348683,0.13612052085922877,-2.81062395766601,
2,1.0,8.0,0.022507883843121163,0.03516335192589537,-0.09721398641357842,0.05935314042551795,0.021746790926292725,-2.7874890224992663,
3,1.0,8.0,0.0697217764419778,0.05764763686235683,0.029368283407548518,-0.07036607506595279,0.08863359551359595,-2.771641404654801,
4,1.0,8.0,0.07043916768952171,0.05626595242217147,-0.06351111382489444,0.03675319655354242,0.22067065804910135,-2.765755609651188,
5,1.0,8.0,0.09703902841893716,0.03482152686082607,-0.07881139912754752,0.05890098596724164,0.1363727577417102,-2.7489834678442304,
6,1.0,8.0,-0.008102790482109004,0.03482152686082607,-0.09869195052403588,0.06103724191899326,0.3478702447237333,-2.7278713048977825,
7,1.0,8.0,0.02155560724530803,0.016852555204057415,-0.0749383814437826,0.0701743980569429,0.155015055901482,-2.7252426289475475,
8,1.0,36.0,0.004680373566309376,0.02631705587110003,-0.08305365872427267,0.0461828909617564,0.5501082582303034,-2.7207901884335643,
9,1.0,8.0,0.02105779794186355,0.05532889710498287,0.026310099619822974,0.014231481301800561,0.05335713192563818,-2.72012357575279,
10,1.0,8.0,-0.003657368495934815,0.036516460807547946,-0.09869195052403588,0.037347994758551606,0.305034624486191,-2.7139422565543527,
11,1.0,8.0,0.0151345553047397,0.08759564180593435,0.012264558449102972,-0.06275653562489987,0.36926689747680363,-2.7035263202591913,
12,1.0,36.0,0.0049558481103583185,-0.016913806091211916,-0.08176640535191976,0.0461828909617564,0.5210141536089598,-2.667189367000226,
13,1.0,8.0,0.060132215613445755,-0.00948250309066434,-0.07163130375439693,0.022947035232870144,0.6045873318458664,-2.6414303898928395,
14,1.0,36.0,-0.0003225980195879219,0.061241188700600135,0.029368283407548518,0.0461828909617564,0.43486016630930613,-2.5674422040322806,
15,1.0,8.0,0.05580311214277389,-0.004449632260387151,-0.09869195052403588,0.023621809096205926,0.21584665174141282,-2.565260321320778,
16,1.0,8.0,0.07098792084439062,-0.010655247752913238,-0.0749383814437826,0.021778058697014394,0.14790814228863425,-2.5623062984593115,
17,1.0,8.0,0.008608785706900851,-7.747003629317295e-05,-0.09869195052403588,0.015487108513704231,0.25202954384974807,-2.5208250429743204,
18,1.0,8.0,0.01984182605204536,0.009931443224452163,-0.09114733817399193,0.021962925556814533,0.48860968904448077,-2.505378309506704,
19,1.0,36.0,-0.015850436317635275,0.05884749459209923,-0.09869195052403588,0.06103724191899326,0.4540890713121323,-2.478108384591193,
20,1.0,8.0,0.04114726750436576,0.07256865573963711,-0.00658108881020969,0.012708135112304467,0.9608920517449606,-2.414074773667102,
21,1.0,8.0,0.0072913203675023935,0.02631705587110003,-0.09869195052403588,0.015487108513704231,0.4156573162669318,-2.413475961624222,
22,1.0,8.0,0.03241331944086215,0.022119170597138416,-0.08347658291516524,0.019871662194838186,0.9741148325911689,-2.3451650152120824,
23,1.0,8.0,0.012476926014153261,0.06613450542648255,-0.06178388919540903,0.020737809118452716,0.2879773858128901,-2.3372017051611023,
24,1.0,8.0,0.07609401755987172,0.07256865573963711,-0.09257858198329852,0.022149481185533795,0.42337552414511836,-2.331699778743027,
25,1.0,8.0,0.012862552146050116,0.08263538013494107,-0.08933633168914311,0.017690872812633526,0.12912060589456342,-2.3113305279647944,
26,1.0,8.0,0.019422873252407075,0.024516878325037766,-0.09869195052403588,0.020737809118452716,0.1587185885738801,-2.3034155819845834,
27,1.0,8.0,0.01735341821156225,0.011803516135581948,-0.08857065515270571,0.020737809118452716,0.6705910985126945,-2.2966003874730534,
