,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK.800000,2018-05-21 10:30:00,31232.79,31431.8,31457.45,31232.79,0.0,0.0,0,32000202901.86,0.6371829093718441,31047.91
1,HK.800000,2018-05-21 11:30:00,31436.0,31420.45,31464.1,31405.27,0.0,0.0,0,14151234932.032,-0.03610992688932401,31431.8
2,HK.800000,2018-05-21 12:00:00,31419.96,31439.88,31450.41,31416.98,0.0,0.0,0,5066871607.909,0.06183870695677589,31420.45
3,HK.800000,2018-05-21 14:00:00,31439.88,31343.77,31451.13,31342.07,0.0,0.0,0,12441504433.997,-0.3056945509970158,31439.88
4,HK.800000,2018-05-21 15:00:00,31346.85,31307.15,31358.24,31258.71,0.0,0.0,0,11677707064.827,-0.11683342495174953,31343.77
5,HK.800000,2018-05-21 16:00:00,31302.68,31234.35,31315.06,31234.35,0.0,0.0,0,20607777638.791,-0.2325347404666439,31307.15
6,HK.800000,2018-05-23 10:30:00,31191.87,30966.5,31191.87,30963.11,0.0,0.0,0,37544843917.268,-0.8575494607699489,31234.35
7,HK.800000,2018-05-23 11:30:00,30964.93,30931.54,30976.46,30885.64,0.0,0.0,0,18047189905.961,-0.11289619427445506,30966.5
8,HK.800000,2018-05-23 12:00:00,30931.7,30909.01,30937.17,30903.75,0.0,0.0,0,4799957936.48,-0.07283827446031614,30931.54
9,HK.800000,2018-05-23 14:00:00,30909.01,30909.26,30937.02,30882.22,0.0,0.0,0,11705994895.968,0.0008088256466318399,30909.01
10,HK.800000,2018-05-23 15:00:00,30911.32,30845.9,30935.68,30829.84,0.0,0.0,0,13222394799.086,-0.2049871138940141,30909.26
11,HK.800000,2018-05-23 16:00:00,30844.13,30665.64,30851.99,30665.64,0.0,0.0,0,30124402686.687,-0.5843888490852983,30845.9
12,HK.800000,2018-05-24 10:30:00,30718.66,30706.54,30757.56,30589.38,0.0,0.0,0,29581853024.096,0.13337403034797726,30665.64
13,HK.800000,2018-05-24 11:30:00,30708.5,30710.02,30788.97,30699.88,0.0,0.0,0,13476181763.75,0.01133309060545266,30706.54
14,HK.800000,2018-05-24 12:00:00,30704.24,30686.97,30742.23,30665.65,0.0,0.0,0,4735685768.104,-0.07505693581443214,30710.02
15,HK.800000,2018-05-24 14:00:00,30686.97,30643.61,30707.87,30631.99,0.0,0.0,0,10455444417.389,-0.14129775601827285,30686.97
16,HK.800000,2018-05-24 15:00:00,30644.05,30673.98,30680.5,30590.52,0.0,0.0,0,12276930080.624,0.0991071221700021,30643.61
17,HK.800000,2018-05-24 16:00:00,30673.59,30760.41,30788.91,30669.06,0.0,0.0,0,19351299435.856,0.28176976055927627,30673.98
18,HK.800000,2018-05-25 10:30:00,30664.27,30631.85,30736.97,30596.62,0.0,0.0,0,28030781896.066,-0.4179398128958661,30760.41
19,HK.800000,2018-05-25 11:30:00,30636.5,30672.0,30674.89,30585.55,0.0,0.0,0,14107649293.718,0.13107272332556297,30631.85
20,HK.800000,2018-05-25 12:00:00,30676.48,30681.12,30700.43,30652.41,0.0,0.0,0,4609820352.659,0.02973395931142078,30672.0
21,HK.800000,2018-05-25 14:00:00,30681.12,30617.54,30692.89,30614.2,0.0,0.0,0,12201286686.51,-0.20722841930150565,30681.12
22,HK.800000,2018-05-25 15:00:00,30617.21,30617.27,30635.61,30572.98,0.0,0.0,0,11457896752.686,-0.0008818474639061026,30617.54
23,HK.800000,2018-05-25 16:00:00,30618.63,30588.04,30656.05,30525.74,0.0,0.0,0,23205463879.423,-0.09546899511288748,30617.27
24,HK.800000,2018-05-28 10:30:00,30759.84,30730.09,30759.84,30530.47,0.0,0.0,0,27359488460.158,0.46439719576670907,30588.04
25,HK.800000,2018-05-28 11:30:00,30730.83,30770.7,30796.27,30693.92,0.0,0.0,0,13171402534.149,0.13215060548146973,30730.09
26,HK.800000,2018-05-28 12:00:00,30768.58,30758.49,30776.26,30717.43,0.0,0.0,0,4392031847.3,-0.03968060525109642,30770.7
27,HK.800000,2018-05-28 14:00:00,30758.49,30784.27,30790.79,30741.99,0.0,0.0,0,10556904759.536,0.08381425746191973,30758.49
28,HK.800000,2018-05-28 15:00:00,30783.89,30806.57,30820.57,30755.06,0.0,0.0,0,10831690532.152,0.07243959333776397,30784.27
29,HK.800000,2018-05-28 16:00:00,30808.46,30792.26,30839.3,30792.26,0.0,0.0,0,18073911291.022,-0.04645113039199531,30806.57
30,HK.800000,2018-05-29 10:30:00,30647.26,30664.31,30713.32,30598.47,0.0,0.0,0,22880297786.566,-0.41552649919167056,30792.26
31,HK.800000,2018-05-29 11:30:00,30664.31,30569.05,30687.82,30557.52,0.0,0.0,0,13134325837.933,-0.3106543078908413,30664.31
32,HK.800000,2018-05-29 12:00:00,30569.73,30601.31,30610.51,30551.27,0.0,0.0,0,4479742855.19,0.10553157523705199,30569.05
33,HK.800000,2018-05-29 14:00:00,30601.31,30584.35,30607.32,30565.39,0.0,0.0,0,10734094849.537,-0.055422463940278256,30601.31
34,HK.800000,2018-05-29 15:00:00,30584.35,30524.78,30622.67,30517.0,0.0,0.0,0,12756953145.358,-0.19477281681644276,30584.35
35,HK.800000,2018-05-29 16:00:00,30523.99,30484.58,30549.24,30454.18,0.0,0.0,0,23568749343.943,-0.13169628085770674,30524.78
36,HK.800000,2018-05-30 10:30:00,30109.37,29987.2,30241.23,29964.34,0.0,0.0,0,34200621321.898,-1.6315789818983926,30484.58
37,HK.800000,2018-05-30 11:30:00,29987.31,30081.97,30081.97,29970.82,0.0,0.0,0,17361736449.867,0.3160348415323886,29987.2
38,HK.800000,2018-05-30 12:00:00,30084.05,30054.47,30109.4,30045.55,0.0,0.0,0,6152496628.48,-0.09141688526383078,30081.97
39,HK.800000,2018-05-30 14:00:00,30054.47,30034.15,30077.07,29968.09,0.0,0.0,0,12866987266.996,-0.06761057506587109,30054.47
40,HK.800000,2018-05-30 15:00:00,30040.82,30012.85,30087.82,30001.29,0.0,0.0,0,12178039970.506,-0.07091927023073039,30034.15
41,HK.800000,2018-05-30 16:00:00,30024.96,30056.79,30079.72,29983.56,0.0,0.0,0,27013249004.258,0.14640395697177153,30012.85
42,HK.800000,2018-05-31 10:30:00,30274.18,30219.36,30282.12,30148.43,0.0,0.0,0,32796580090.758,0.5408761215019957,30056.79
43,HK.800000,2018-05-31 11:30:00,30223.31,30311.78,30332.66,30197.36,0.0,0.0,0,14870224498.613,0.305830434529382,30219.36
44,HK.800000,2018-05-31 12:00:00,30309.35,30282.91,30326.32,30278.91,0.0,0.0,0,4720325212.293,-0.0952434993919822,30311.78
45,HK.800000,2018-05-31 14:00:00,30282.91,30320.96,30349.08,30272.03,0.0,0.0,0,13133298695.928,0.12564842678593066,30282.91
46,HK.800000,2018-05-31 15:00:00,30323.84,30366.57,30368.97,30296.01,0.0,0.0,0,14172594859.78,0.15042399712938043,30320.96
47,HK.800000,2018-05-31 16:00:00,30373.11,30468.56,30533.58,30365.79,0.0,0.0,0,124061098247.303,0.33586275960703366,30366.57
48,HK.800000,2018-06-01 10:30:00,30548.78,30485.36,30548.78,30394.86,0.0,0.0,0,35181085285.097,0.055138805378394225,30468.56
49,HK.800000,2018-06-01 11:30:00,30485.66,30431.69,30581.12,30424.57,0.0,0.0,0,14771872313.45,-0.1760517179393712,30485.36
50,HK.800000,2018-06-01 12:00:00,30431.69,30417.36,30470.11,30410.69,0.0,0.0,0,4122050090.147,-0.047089070636557186,30431.69
51,HK.800000,2018-06-01 14:00:00,30417.36,30419.64,30461.84,30363.49,0.0,0.0,0,12802885018.75,0.007495719549621782,30417.36
52,HK.800000,2018-06-01 15:00:00,30419.17,30496.79,30498.3,30400.23,0.0,0.0,0,12122351208.771,0.253619043486384,30419.64
53,HK.800000,2018-06-01 16:00:00,30498.61,30492.91,30539.71,30473.88,0.0,0.0,0,41712425915.867,-0.01272265048223442,30496.79
54,HK.800000,2018-06-04 10:30:00,30836.77,30878.37,30932.13,30743.18,0.0,0.0,0,32997140960.007,1.2640971294638628,30492.91
55,HK.800000,2018-06-04 11:30:00,30873.55,30907.53,30926.7,30856.31,0.0,0.0,0,14582487330.088,0.09443503656442959,30878.37
56,HK.800000,2018-06-04 12:00:00,30907.53,30889.91,30937.43,30876.19,0.0,0.0,0,5679419149.964,-0.057008761295383306,30907.53
57,HK.800000,2018-06-04 14:00:00,30889.91,30951.26,30962.3,30868.04,0.0,0.0,0,12082848521.395,0.19860854240105766,30889.91
58,HK.800000,2018-06-04 15:00:00,30950.5,30946.55,30957.09,30904.61,0.0,0.0,0,11472621788.858,-0.015217474183600692,30951.26
59,HK.800000,2018-06-04 16:00:00,30947.23,30997.98,31012.92,30941.36,0.0,0.0,0,26719258043.497,0.1661897691342017,30946.55
60,HK.800000,2018-06-05 10:30:00,31009.47,30924.38,31036.29,30896.11,0.0,0.0,0,33446445213.388,-0.23743482639836064,30997.98
61,HK.800000,2018-06-05 11:30:00,30925.9,31000.03,31007.5,30908.73,0.0,0.0,0,13366919330.663,0.2446289949871196,30924.38
62,HK.800000,2018-06-05 12:00:00,31002.42,31046.54,31053.05,30993.44,0.0,0.0,0,5228260908.486,0.1500321128721554,31000.03
63,HK.800000,2018-06-05 14:00:00,31046.54,31131.98,31188.93,31009.9,0.0,0.0,0,16109557800.457,0.2751997485065927,31046.54
64,HK.800000,2018-06-05 15:00:00,31131.16,31127.71,31180.61,31107.73,0.0,0.0,0,13588211567.758,-0.013715799637544534,31131.98
65,HK.800000,2018-06-05 16:00:00,31126.66,31093.45,31126.99,31014.84,0.0,0.0,0,24294205818.467,-0.1100627061868618,31127.71
66,HK.800000,2018-06-06 10:30:00,31162.02,31243.02,31279.34,31161.37,0.0,0.0,0,30417752304.662,0.4810337868586461,31093.45
67,HK.800000,2018-06-06 11:30:00,31242.65,31194.49,31303.69,31162.93,0.0,0.0,0,15001092340.257,-0.1553306946639564,31243.02
68,HK.800000,2018-06-06 12:00:00,31193.7,31234.46,31245.87,31177.97,0.0,0.0,0,5379331938.849,0.12813160272855084,31194.49
69,HK.800000,2018-06-06 14:00:00,31234.46,31237.05,31286.31,31221.03,0.0,0.0,0,10470379998.894,0.008292123507178116,31234.46
70,HK.800000,2018-06-06 15:00:00,31238.95,31296.88,31318.37,31231.53,0.0,0.0,0,12491599189.906,0.19153537225826942,31237.05
71,HK.800000,2018-06-06 16:00:00,31298.05,31259.1,31332.42,31217.69,0.0,0.0,0,23598735928.088,-0.12071490832313789,31296.88
72,HK.800000,2018-06-07 10:30:00,31464.63,31466.83,31514.04,31369.28,0.0,0.0,0,33490130819.391,0.6645424852283118,31259.1
73,HK.800000,2018-06-07 11:30:00,31467.07,31420.29,31476.07,31372.07,0.0,0.0,0,15889052657.233,-0.14790177466240123,31466.83
74,HK.800000,2018-06-07 12:00:00,31418.2,31432.37,31450.06,31401.35,0.0,0.0,0,4978623379.063,0.0384464942876024,31420.29
75,HK.800000,2018-06-07 14:00:00,31432.37,31428.7,31449.08,31386.41,0.0,0.0,0,11893118562.638,-0.011675861540183746,31432.37
76,HK.800000,2018-06-07 15:00:00,31428.7,31474.91,31507.58,31419.34,0.0,0.0,0,14463453494.657,0.1470312166904744,31428.7
77,HK.800000,2018-06-07 16:00:00,31476.45,31512.63,31521.13,31430.92,0.0,0.0,0,24831268407.505,0.11984148644110869,31474.91
78,HK.800000,2018-06-08 10:30:00,31435.26,31206.22,31435.26,31185.17,0.0,0.0,0,29522537390.578,-0.9723402965731512,31512.63
79,HK.800000,2018-06-08 11:30:00,31209.43,31112.04,31217.98,31094.67,0.0,0.0,0,14573988910.113,-0.3017988080581381,31206.22
80,HK.800000,2018-06-08 12:00:00,31111.03,31126.4,31130.32,31097.38,0.0,0.0,0,3994057142.738,0.04615576477788207,31112.04
81,HK.800000,2018-06-08 14:00:00,31126.4,31053.39,31151.95,31044.06,0.0,0.0,0,11341873429.621,-0.23455973064666016,31126.4
82,HK.800000,2018-06-08 15:00:00,31055.48,30962.16,31066.13,30953.3,0.0,0.0,0,12783919834.337,-0.29378435011443055,31053.39
83,HK.800000,2018-06-08 16:00:00,30955.25,30958.21,30965.8,30874.1,0.0,0.0,0,27595482134.493,-0.012757507874129994,30962.16
84,HK.800000,2018-06-11 10:30:00,31016.52,31031.42,31093.13,30898.57,0.0,0.0,0,26369931851.23,0.2364800807281788,30958.21
85,HK.800000,2018-06-11 11:30:00,31032.94,31083.69,31118.2,31017.28,0.0,0.0,0,12502584293.731,0.1684421789270373,31031.42
86,HK.800000,2018-06-11 12:00:00,31083.69,31055.65,31090.95,31045.77,0.0,0.0,0,3547361366.656,-0.09020808018609515,31083.69
