time,open,high,low,close,Plot,Plot,MACD,Signal
1389842400,22969.2,22981.7,22953.9,22969.5,-12.832989375507168,NaN,-12.832989375507168,NaN
1389846000,22963,22982.2,22941.2,22982.2,-15.913496634773765,NaN,-15.913496634773765,NaN
1389849600,22982.9,23014.9,22951.8,22985,-18.43312656035414,NaN,-18.43312656035414,NaN
1389853200,22985.3,23000.2,22949.2,22971.9,-19.737166822400468,NaN,-19.737166822400468,NaN
1389856800,22972.4,22986,22950.2,22979,-20.967895887333725,NaN,-20.967895887333725,NaN
1389921600,22898.5,22958.3,22849.1,22884.7,-17.44166217257589,NaN,-17.44166217257589,NaN
1389925200,22885.6,23025.1,22868.8,22981.3,-18.870658396426734,NaN,-18.870658396426734,NaN
1389928800,22981.4,23224.5,22979.4,23179.8,-29.05726741683975,NaN,-29.05726741683975,NaN
1389932400,23171.4,23263.4,23154.7,23213.5,-38.71682298048472,NaN,-38.71682298048472,NaN
1389936000,23212.8,23213.9,23156.5,23188.2,-45.13648553909661,NaN,-45.13648553909661,NaN
1389939600,23188,23192.1,23123.1,23129.7,-47.313213387205906,NaN,-47.313213387205906,NaN
1389943200,23127.2,23139.4,23102.9,23129.9,-48.708320545221795,NaN,-48.708320545221795,NaN
1390180800,23048.1,23089.2,22964.7,23031.3,-44.88491405245804,NaN,-44.88491405245804,NaN
1390184400,23032,23074.9,23005.9,23032,-41.40745987517221,NaN,-41.40745987517221,NaN
1390188000,23030.2,23036.9,22992.6,23014.8,-37.41536540323432,NaN,-37.41536540323432,NaN
1390191600,23016,23020.1,22985.7,22996.8,-32.99818408880674,NaN,-32.99818408880674,NaN
1390195200,22999.1,23001.6,22884.6,22941.2,-26.532021380859078,NaN,-26.532021380859078,NaN
1390198800,22942.9,22958.5,22929.2,22952.4,-21.52880385644312,NaN,-21.52880385644312,NaN
1390202400,22952.8,22958.5,22920.8,22927,-16.074665096046374,NaN,-16.074665096046374,NaN
1390267200,23040.8,23090.3,22986.5,23049.2,-17.118755900795804,NaN,-17.118755900795804,NaN
1390270800,23048.2,23052.8,23012.1,23039.9,-17.40052142653076,NaN,-17.40052142653076,NaN
1390274400,23039.5,23064.8,23029.5,23058.8,-18.35868627806485,NaN,-18.35868627806485,NaN
1390278000,23065.8,23139.7,23053.6,23118.1,-21.73021893979967,NaN,-21.73021893979967,NaN
1390281600,23118.9,23137,23032.8,23049.7,-21.148657726182137,NaN,-21.148657726182137,NaN
1390285200,23047.8,23076.6,23039.8,23068.4,-21.358734397999797,5.692520053818466,-21.358734397999797,5.692520053818466
1390288800,23071,23080.6,23017.8,23029.6,-19.558093566938624,4.991114119908547,-19.558093566938624,4.991114119908547
1390353600,22954.8,23082.8,22913.7,23035.7,-18.200357645971962,4.34690657085631,-18.200357645971962,4.34690657085631
1390357200,23037.5,23119.6,23018.7,23070.6,-18.548007982608397,3.7109367221489573,-18.548007982608397,3.7109367221489573
1390360800,23072.4,23091.1,23028.3,23050.7,-17.757234031680127,3.114598645653705,-17.757234031680127,3.114598645653705
1390364400,23050.8,23109.5,23050.8,23090.3,-18.79036265144896,2.5061274985119644,-18.79036265144896,2.5061274985119644
1390368000,23090.1,23096.4,23062.7,23079.2,-18.96590616217145,1.9096821190485362,-18.96590616217145,1.9096821190485362
1390371600,23079.1,23116.1,23071,23096.4,-19.7453144490064,1.3081544366025657,-19.7453144490064,1.3081544366025657
1390375200,23094.9,23103.7,23058.2,23078.5,-19.390667335708713,0.7331871651494747,-19.390667335708713,0.7331871651494747
1390440000,23082,23093.9,22746.2,22817.4,-6.869501277873496,0.5220013750655033,-6.869501277873496,0.5220013750655033
1390443600,22817.7,22846.4,22780.7,22783.2,5.027836469325848,0.6471634610171795,5.027836469325848,0.6471634610171795
1390447200,22783.4,22783.4,22722.7,22766.3,15.514496922121907,1.0601449460478665,15.514496922121907,1.0601449460478665
1390450800,22757.3,22774.4,22722.6,22752.2,24.627815386200382,1.7148024582743253,24.627815386200382,1.7148024582743253
1390454400,22751.9,22787.9,22743.1,22768,31.157401393436885,2.5326524286955077,31.157401393436885,2.5326524286955077
1390458000,22768.6,22773.4,22724.7,22750.3,37.06351260614974,3.4918429891803475,37.06351260614974,3.4918429891803475
1390461600,22753.8,22776.1,22724.6,22740.5,42.04403639298107,4.562737250397034,42.04403639298107,4.562737250397034
1390526400,22522.4,22631.5,22514.3,22605.1,52.0293896099829,5.881255371496641,52.0293896099829,5.881255371496641
1390530000,22608.5,22659.7,22565.9,22603.6,59.842772375090135,7.380186399374238,59.842772375090135,7.380186399374238
1390533600,22607.8,22615.6,22576.8,22583.9,66.65211730973533,9.026628924662045,66.65211730973533,9.026628924662045
1390537200,22574,22575.4,22534.3,22535.8,73.89420986282857,10.828506172944449,73.89420986282857,10.828506172944449
1390540800,22536.7,22573.4,22513.9,22523.3,79.78462846840557,12.743954014485036,79.78462846840557,12.743954014485036
1390544400,22523.4,22550.6,22504.6,22529.4,83.65841994382936,14.713800290300156,83.65841994382936,14.713800290300156
1390548000,22525.8,22538,22435.7,22461.3,89.27679178340986,16.784994498442092,89.27679178340986,16.784994498442092
1390785600,22019.1,22019.1,21880.7,21924,117.96304777144178,19.59549597824764,117.96304777144178,19.59549597824764
1390789200,21921.6,21996.7,21916.7,21937.6,139.8466352593532,22.935805402722796,139.8466352593532,22.935805402722796
1390792800,21935,21997.7,21928.5,21987.7,154.28573731659708,26.584414622552636,154.28573731659708,26.584414622552636
1390796400,21992,22010.2,21964.9,21986.1,164.89352482302274,30.426334350343474,164.89352482302274,30.426334350343474
1390800000,21976.2,22044.2,21969.5,21991.7,171.94029589070124,34.357277726464524,171.94029589070124,34.357277726464524
1390803600,21984.7,22019.8,21978.4,22013.9,175.24298398488463,38.27076956697619,175.24298398488463,38.27076956697619
1390807200,22009.8,22021.5,21969,21973.6,178.33894285209317,42.16155215822944,178.33894285209317,42.16155215822944
1390872000,22012.5,22022.1,21922.5,21951.7,180.38908610168073,46.00120587888087,180.38908610168073,46.00120587888087
1390875600,21951.5,22015.9,21892.2,21997,178.45925316666398,49.68059608131929,178.45925316666398,49.68059608131929
1390879200,22002,22006.8,21977.9,21996.2,175.41540472691122,53.173229654807955,175.41540472691122,53.173229654807955
1390882800,22006,22011.8,21966,21972.3,172.55203810839885,56.4893076674077,172.55203810839885,56.4893076674077
1390886400,21972.5,22008.5,21966.6,22004.7,167.2585063150109,59.566229852063344,167.2585063150109,59.566229852063344
1390890000,22003.4,22010.5,21966.2,21977.2,162.78684365811569,62.43346912445369,162.78684365811569,62.43346912445369
1390893600,21980.7,21996.3,21951.5,21973.9,157.90765077824108,65.08552972594778,157.90765077824108,65.08552972594778
1390958400,22111.6,22222.7,22109.9,22182.1,142.96034862222223,67.24871913973318,142.96034862222223,67.24871913973318
1390962000,22184.3,22196.2,22146.9,22166.2,130.24713594294735,68.99867516204469,130.24713594294735,68.99867516204469
1390965600,22177.4,22207.1,22145.3,22191.2,117.58087231124591,70.34818063841139,117.58087231124591,70.34818063841139
1390969200,22187.1,22193.2,22165,22175.1,106.95909435828435,71.36515046396342,106.95909435828435,71.36515046396342
1390972800,22184.5,22184.5,22148.4,22167.4,97.71344356188274,72.09704749446118,97.71344356188274,72.09704749446118
1390976400,22181.2,22212.7,22157.3,22187.5,88.38811250128492,72.54957707798405,88.38811250128492,72.54957707798405
1390980000,22203.7,22218.2,22126.2,22126.6,82.81955879616362,72.83485434793349,82.81955879616362,72.83485434793349
1391044800,21827.3,21860.1,21746.2,21805,92.42499119073909,73.3790248157892,92.42499119073909,73.3790248157892
1391048400,21800.2,21912.4,21777.4,21903.6,94.96116486536266,73.97852870605513,94.96116486536266,73.97852870605513
1391052000,21899.7,22052.2,21893,22035.4,90.14953266713201,74.42772326052949,90.14953266713201,74.42772326052949
1391476800,21561.7,21609.6,21514.5,21547.3,108.00891357474029,75.3605341025909,108.00891357474029,75.3605341025909
1391480400,21545.4,21554.7,21509.8,21525.3,122.7507684059783,76.67692949990722,122.7507684059783,76.67692949990722
1391484000,21530.4,21532.3,21502.1,21511.1,134.45396233571955,78.28184707867979,134.45396233571955,78.28184707867979
1391487600,21515.9,21555,21515.9,21532.9,141.9052854097863,80.04916481009941,141.9052854097863,80.04916481009941
1391491200,21534.8,21542.9,21452.2,21464.6,149.97460233678066,81.99153807472945,149.97460233678066,81.99153807472945
1391494800,21465.3,21492.3,21438.4,21455.3,155.75555862287,84.04053864551113,155.75555862287,84.04053864551113
1391498400,21454.8,21459.1,21388.6,21399.7,161.75293407892968,86.19921629643943,161.75293407892968,86.19921629643943
1391563200,21564.9,21564.9,21406.3,21429,163.95328006957425,88.35905140124873,163.95328006957425,88.35905140124873
1391566800,21429.2,21453.5,21362.4,21386.4,166.34723346468672,90.52538979189978,166.34723346468672,90.52538979189978
1391570400,21387.9,21393.9,21290.4,21393.9,166.56415130131427,92.63757761160574,166.56415130131427,92.63757761160574
1391574000,21396.4,21401,21361,21362.3,166.80268355148291,94.697719443269,166.80268355148291,94.697719443269
1391577600,21367,21436.1,21232.7,21279.4,169.42792902072324,96.77355859819828,169.42792902072324,96.77355859819828
1391581200,21277.9,21331.6,21197.8,21240.9,171.93451308988733,98.86136288963408,171.93451308988733,98.86136288963408
1391584800,21241.5,21282.5,21200,21270.1,171.19381925504422,100.87059778867325,171.19381925504422,100.87059778867325
1391649600,21320.9,21430.2,21320.2,21430.2,161.74876490082534,102.56165798623303,161.74876490082534,102.56165798623303
1391653200,21431.1,21440.4,21376.9,21398,154.13917192236113,103.99436670668103,154.13917192236113,103.99436670668103
1391656800,21393,21399.1,21364.8,21378.4,147.51501656670735,105.20327364723732,147.51501656670735,105.20327364723732
1391660400,21386.2,21391.6,21317.6,21337.1,142.7568639302117,106.2464289328755,142.7568639302117,106.2464289328755
1391664000,21338.2,21355.5,21277,21336.5,137.68647110677557,107.11976343770606,137.68647110677557,107.11976343770606
1391667600,21336.2,21421.6,21313.2,21398.3,129.51882596903306,107.7419596191318,129.51882596903306,107.7419596191318
1391671200,21399.3,21430.7,21376.8,21410.8,121.16072322198306,108.11470305254434,121.16072322198306,108.11470305254434
1391736000,21498.1,21649,21480.1,21612.6,103.96764976770282,107.99950712796542,103.96764976770282,107.99950712796542
1391739600,21617.7,21650.2,21559.8,21604.8,89.36771437644347,107.48195732931202,89.36771437644347,107.48195732931202
1391743200,21604.6,21625,21581.8,21589.9,77.34324870396813,106.64477097860802,77.34324870396813,106.64477097860802
1391746800,21592.1,21618.9,21573.2,21605,66.14342810085509,105.51973367644823,66.14342810085509,105.51973367644823
1391750400,21599.8,21668.2,21570.5,21647.8,54.43312611006331,104.10066124404864,54.43312611006331,104.10066124404864
1391754000,21647.7,21703.7,21627.2,21638.3,44.820205351978075,102.45398191371335,44.820205351978075,102.45398191371335
1391757600,21638.2,21664.8,21611.6,21640,36.48886098840376,100.62161744356587,36.48886098840376,100.62161744356587
1391995200,21646.8,21687.8,21554.2,21647.6,29.00486992590959,98.63226334585319,29.00486992590959,98.63226334585319
1391998800,21647.4,21668.9,21591.8,21636.7,23.133071619024122,96.5350635756635,23.133071619024122,96.5350635756635
1392002400,21635.5,21642.8,21579.6,21632,18.344975765743584,94.36311669205462,18.344975765743584,94.36311669205462
1392006000,21646.1,21661.1,21624.3,21640.6,13.87031760220998,92.1272056062256,13.87031760220998,92.1272056062256
1392009600,21640,21663.2,21602.2,21611.8,11.418641227868648,89.88530104016013,11.418641227868648,89.88530104016013
