Date,Open,High,Low,Close,Volume
2000-06-05,70.06301935402153,72.2188045649145,69.20968770804306,70.916351,148400
2000-06-06,70.7816346948481,72.03917642800529,67.997078,67.997078,222800
2000-06-07,68.80548761273555,69.70373157634828,66.96408748732944,69.119873,215500
2000-06-08,71.00620026714101,71.05111247477362,68.8504143007762,69.434273,195200
2000-06-09,70.6019638555133,71.14091014448668,69.74863223130545,70.871437,97500
2000-06-12,71.32056376005274,71.32056376005274,67.99706141858933,68.131798,56200
2000-06-13,68.26660149272612,71.006248,67.05397107147374,71.006248,194500
2000-06-14,71.00620115730337,71.051113365499,67.95217099999999,67.95217099999999,97500
2000-06-15,68.0868890406291,69.4791671146789,67.00899633813893,68.536011,108900
2000-06-16,68.62586328645834,69.65884421289063,67.9521800735677,68.985161,86900
2000-06-19,69.25458889390242,73.65598299999999,68.71564267682926,73.65598299999999,218200
2000-06-20,74.37463425,75.991474125,74.01533649999999,74.733932,248500
2000-06-21,73.74583220347098,75.58723239856374,73.65600780371035,75.048286,185800
2000-06-22,74.37463281612092,74.37463281612092,71.14095312846348,71.32060200000001,391400
2000-06-23,71.41040003846155,71.9942586551282,69.88338519487179,70.063034,342900
2000-06-26,70.69180481794872,71.41040003846155,69.25461437692309,70.063034,154000
2000-06-27,70.60196174304636,70.73669831125828,67.817406,67.817406,236100
2000-06-28,67.99707119894597,69.79355920948616,67.99707119894597,68.17671999999999,228500
2000-06-29,67.36829737019556,67.81741935266353,65.57180944032368,66.60479000000001,281800
2000-06-30,66.82940128723403,68.13185601662234,66.33536673470743,67.547997,458000
2000-07-03,67.45813455656697,69.16479841352405,67.36831014304292,69.074974,52600
2000-07-05,65.0328517122708,65.79635894922426,63.32618847672778,63.685486,1362200
2000-07-06,64.62871312601627,66.6497639186992,63.32625817073171,66.29046600000001,1393400
2000-07-07,67.72762451443569,69.52411322834645,67.41323898950131,68.44622,179900
2000-07-10,68.62584220236532,69.47917400985546,67.90724699605782,68.356369,93600
2000-07-11,68.26657991989319,69.79359552336447,66.51500319826434,67.278511,223200
2000-07-12,68.89537276221499,69.83852975570034,67.86239129315962,68.940285,114600
2000-07-13,70.42228397458703,71.814561272554,70.01807443646759,70.691757,144100
2000-07-14,72.03921290505549,72.847633,70.96131944512948,72.847633,136400
2000-07-17,72.84760770248937,74.10514963570127,71.85953904068002,73.970413,165500
2000-07-18,72.57812546031747,72.8026864920635,70.42233955555557,70.736725,217400
2000-07-19,70.64686077616852,70.64686077616852,67.36827156023699,68.221603,372500
2000-07-20,68.58093552842809,69.92830164882942,66.60479855183945,67.143745,272200
2000-07-21,66.15559582008368,66.46998086471409,63.775251910739186,64.404022,625700
2000-07-24,63.954956246498604,66.64968754901962,63.5956587394958,64.13460500000001,1236400
2000-07-25,66.5598744121212,66.78443539191919,64.89812316161616,66.694611,274300
2000-07-26,64.1346960169014,64.76346754647888,62.20346917605634,63.775397999999996,500800
2000-07-27,61.35009039304611,61.35009039304611,58.92483059712774,59.418865000000004,526400
2000-07-28,60.272199833714716,61.080619801678104,57.66729104805491,58.879920999999996,1352400
2000-07-31,59.508714124815356,61.35011584490398,58.16134701255539,60.81116899999999,214800
2000-08-01,60.63145370511842,60.63145370511842,58.47566868449198,58.790054000000005,656800
2000-08-02,58.79006151774692,60.72128584567902,57.757081063271606,58.206203,302000
2000-08-03,54.07429177743431,58.116389999999996,54.07429177743431,58.11639,1421000
2000-08-04,59.55357741064336,59.55357741064336,55.69112819698173,56.54446,764800
