time,Open,High,Low,Close
2014-01-02 01:20:00,23452.76,23469.33,23281.84,23318.8
2014-01-02 02:20:00,23316.73,23328.84,23186.89,23229.4
2014-01-02 03:20:00,23228.24,23266.88,23173.93,23249.16
2014-01-02 04:20:00,23257.85,23262.57,23226.38,23248.02
2014-01-02 05:20:00,23244.55,23343.98,23223.29,23330.52
2014-01-02 06:20:00,23330.3,23331.16,23256.74,23275.34
2014-01-02 07:20:00,23275.82,23346.16,23265.49,23340.05
2014-01-03 01:20:00,23097.98,23097.98,22915.82,22938.15
2014-01-03 02:20:00,22938.02,22951.82,22897.73,22941.89
2014-01-03 03:20:00,22942.19,22943.69,22904.31,22932.53
2014-01-03 04:20:00,22926.73,22934.47,22883.08,22902.44
2014-01-03 05:20:00,22903.37,22921.22,22824.85,22852.45
2014-01-03 06:20:00,22846.06,22874.41,22810.08,22841.81
2014-01-03 07:20:00,22840.28,22842.48,22782.42,22817.28
2014-01-06 01:20:00,22732.83,22753.94,22567.77,22614.55
2014-01-06 02:20:00,22613.93,22648.97,22599.08,22615.97
2014-01-06 03:20:00,22616.46,22693.75,22615.43,22680.77
2014-01-06 04:20:00,22684.85,22706.64,22672.02,22672.02
2014-01-06 05:20:00,22671.1,22686.21,22632.18,22644.29
2014-01-06 06:20:00,22643.97,22744.37,22637.42,22732.98
2014-01-06 07:20:00,22732.3,22757.45,22671.43,22684.15
2014-01-07 01:20:00,22689.25,22766.98,22644.58,22704.42
2014-01-07 02:20:00,22703.41,22802.85,22698.45,22745.9
2014-01-07 03:20:00,22748.53,22787.24,22738.44,22762.29
2014-01-07 04:20:00,22765.61,22770.97,22731.01,22736.01
2014-01-07 05:20:00,22733.94,22740.35,22687.65,22695.0
2014-01-07 06:20:00,22692.79,22723.2,22669.62,22696.64
2014-01-07 07:20:00,22698.81,22723.8,22684.51,22712.78
2014-01-08 01:20:00,22834.81,22936.58,22778.83,22888.65
2014-01-08 02:20:00,22889.91,22921.52,22819.59,22857.33
2014-01-08 03:20:00,22856.51,22889.8,22851.15,22886.29
2014-01-08 04:20:00,22890.81,23025.07,22890.81,22989.2
